task,frame,arm,plan_index,plan_stage,simulated_order,provider,track_handle,field_kind,field_group,context_scope,context_version,anchor_distance_m,attempt_input_tokens,attempt_total_with_generation,cumulative_input_tokens,cumulative_total_with_generation,admitted,dropped_reason,prompt_section,object_index,anchor_ref,primary_refs
g5526_alternating,5526,alternating,1,1,1,no_fusion_cav1,20,forecast,receiver_subset_forecast,receiver_acquired_subset,"{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""}",0.627451565,3026,3282,3026,3282,True,admitted,remote,0,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}","[{""context_version"":{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}]"
g5526_alternating,5526,alternating,1,1,5,no_fusion_cav1,20,history,history,,"{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""}",0.627451565,4286,4542,3477,3733,False,context_budget,,,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}","[{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""history"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}]"
g5526_alternating,5526,alternating,1,1,2,no_fusion_cav1,6,forecast,receiver_subset_forecast,receiver_acquired_subset,"{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""}",6.519300096,3477,3733,3477,3733,True,admitted,remote,1,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":6}","[{""context_version"":{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":6}]"
g5526_alternating,5526,alternating,1,1,6,no_fusion_cav1,6,history,history,,"{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""}",6.519300096,4268,4524,3477,3733,False,context_budget,,,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":6}","[{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""history"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":6}]"
g5526_alternating,5526,alternating,1,1,3,no_fusion_cav1,4,forecast,receiver_subset_forecast,receiver_acquired_subset,"{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""}",9.585312095,3939,4195,3477,3733,False,context_budget,,,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":4}","[{""context_version"":{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":4}]"
g5526_alternating,5526,alternating,1,1,7,no_fusion_cav1,4,history,history,,"{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""}",9.585312095,4268,4524,3477,3733,False,context_budget,,,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":4}","[{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""history"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":4}]"
g5526_alternating,5526,alternating,1,1,4,no_fusion_cav1,0,forecast,receiver_subset_forecast,receiver_acquired_subset,"{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""}",23.996877666,3954,4210,3477,3733,False,context_budget,,,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":0}","[{""context_version"":{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":0}]"
g5526_alternating,5526,alternating,1,1,8,no_fusion_cav1,0,history,history,,"{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""}",23.996877666,4282,4538,3477,3733,False,context_budget,,,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":0}","[{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""history"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":0}]"
g5526_alternating,5526,alternating,2,2,1,no_fusion_cav1,20,forecast,provider_full_forecast,provider_full_at_t,"{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""}",0.627451565,3016,3272,3016,3272,True,admitted,remote,0,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}","[{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}]"
g5526_alternating,5526,alternating,2,2,7,no_fusion_cav1,20,forecast,receiver_subset_forecast,receiver_acquired_subset,"{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""}",0.627451565,4109,4365,3472,3728,False,context_budget,,,"{""context_version"":{""name"":""fixed_ego_at_t"",""revision"":""11x100ms_v1""},""field_kind"":""anchor"",""g"":5526,""producer_version"":{""name"":""toolv2x_causal_tracker"",""revision"":""causal_windows_v1""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}","[{""context_version"":{""name"":""receiver_fixed_ego_at_t"",""revision"":""11x100ms_v1.subset.0.4.6.20""},""field_kind"":""forecast"",""g"":5526,""producer_version"":{""name"":""CMP_MTR_full_seed20"",""revision"":""epoch09""},""provider"":""no_fusion_cav1"",""scene"":""testoutput_CAV_data_2022-03-17-16-06-11_0"",""track_handle"":20}]"
